EmployeeNumber,Gender,HourlyRate,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,new_hike,PerformanceRating,YearsSinceLastPromotion,Q2,Q3,Q4,
446,Male,46,Sales Executive,4,3,No,14,13,3,0,NA, ,Not Leader,
447,Male,42,Research Director,3,4,No,11,10,3,1,NA, ,Not Top Leader,
448,Female,82,Laboratory Technician,3,1,No,11,10,3,0,NA, ,Not Leader,
449,Male,73,Sales Executive,2,0,Yes,13,12,3,1,NA, ,Not Leader,
450,Female,31,Research Scientist,3,3,No,12,11,3,0,NA, ,Not Leader,
451,Female,43,Healthcare Representative,1,8,No,16,15,3,0,NA, ,Not Leader,
452,Male,75,Research Scientist,4,9,No,14,13,3,9,NA,Due for promotion,Not Leader,
453,Male,57,Sales Executive,4,2,Yes,22,23,4,0,NA, ,Not Leader,
454,Male,77,Laboratory Technician,1,1,Yes,11,10,3,0,NA, ,Not Leader,
455,Male,30,Laboratory Technician,4,0,No,17,16,3,2,NA, ,Not Leader,
456,Female,30,Sales Executive,3,1,No,13,12,3,1,NA, ,Not Leader,
458,Female,56,Sales Executive,2,1,No,18,17,3,0,NA, ,Not Leader,
460,Male,61,Manufacturing Director,4,7,No,16,15,3,0,NA, ,Not Top Leader,
461,Male,92,Research Director,4,0,Yes,14,13,3,2,NA, ,Not Top Leader,
462,Female,39,Manufacturing Director,4,1,Yes,14,13,3,4,NA, ,Not Top Leader,
463,Female,39,Sales Executive,2,1,Yes,14,13,3,1,NA, ,Not Leader,
464,Male,62,Manufacturing Director,2,0,No,13,12,3,0,NA, ,Not Top Leader,
465,Male,83,Research Scientist,4,1,No,12,11,3,0,NA, ,Not Leader,
466,Male,95,Manufacturing Director,2,6,Yes,15,14,3,1,NA, ,Not Top Leader,
467,Male,99,Sales Representative,3,3,No,19,18,3,0,high-salary representative, ,Not Leader,
468,Female,44,Research Director,4,2,No,14,13,3,0,NA, ,Not Top Leader,
469,Male,61,Sales Executive,3,1,No,14,13,3,0,NA, ,Not Leader,
470,Male,52,Human Resources,3,0,Yes,11,10,3,1,NA, ,Not Leader,
471,Female,75,Laboratory Technician,2,1,No,13,12,3,0,NA, ,Not Leader,
473,Female,91,Manager,3,3,No,21,22,4,0,NA, ,Not Top Leader,
474,Male,51,Research Scientist,1,4,Yes,13,12,3,6,NA,Due for promotion,Not Leader,
475,Female,85,Sales Executive,3,7,Yes,12,11,3,2,NA, ,Not Leader,
476,Male,57,Sales Executive,3,1,No,17,16,3,7,NA,Due for promotion,Not Leader,
477,Male,98,Healthcare Representative,4,3,No,23,24,4,0,NA, ,Not Leader,
478,Female,99,Sales Representative,2,1,Yes,11,10,3,1,high-salary representative, ,Not Leader,
479,Female,45,Sales Executive,4,4,No,15,14,3,0,NA, ,Not Leader,
481,Male,48,Sales Executive,4,4,No,11,10,3,1,NA, ,Not Leader,
482,Male,88,Healthcare Representative,3,2,No,11,10,3,1,NA, ,Not Leader,
483,Female,46,Laboratory Technician,3,3,Yes,13,12,3,1,NA, ,Not Leader,
484,Male,39,Sales Representative,4,1,No,24,25,4,2,NA, ,Not Leader,
485,Female,34,Sales Representative,3,1,Yes,13,12,3,0,NA, ,Not Leader,
486,Female,98,Laboratory Technician,1,6,No,20,21,4,0,NA, ,Not Leader,
487,Female,30,Manufacturing Director,3,2,No,14,13,3,0,NA, ,Not Top Leader,
488,Male,56,Sales Executive,2,1,No,18,17,3,7,NA,Due for promotion,Not Leader,
491,Male,100,Healthcare Representative,4,6,No,15,14,3,1,NA, ,Not Leader,
492,Male,68,Sales Executive,3,2,Yes,12,11,3,1,NA, ,Not Leader,
493,Male,42,Research Scientist,2,0,Yes,16,15,3,2,NA, ,Not Leader,
494,Female,90,Sales Representative,2,1,No,15,14,3,0,high-salary representative, ,Not Leader,
495,Male,54,Research Scientist,4,9,No,16,15,3,1,NA, ,Not Leader,
496,Male,97,Healthcare Representative,2,9,No,19,18,3,0,NA, ,Not Leader,
497,Male,82,Laboratory Technician,2,1,No,11,10,3,0,NA, ,Not Leader,
498,Male,92,Sales Executive,4,1,No,16,15,3,0,NA, ,Not Leader,
499,Male,31,Healthcare Representative,3,8,No,24,25,4,0,NA, ,Not Leader,
500,Female,87,Sales Executive,4,4,No,11,10,3,0,NA, ,Not Leader,
501,Female,96,Research Scientist,3,4,No,13,12,3,2,NA, ,Not Leader,
502,Male,67,Sales Executive,4,8,Yes,13,12,3,0,NA, ,Not Leader,
505,Female,97,Manager,4,2,Yes,13,12,3,1,NA, ,Not Top Leader,
507,Female,77,Sales Executive,3,1,Yes,12,11,3,0,NA, ,Not Leader,
508,Male,72,Sales Representative,2,1,No,18,17,3,0,NA, ,Not Leader,
510,Male,73,Research Scientist,1,0,No,22,23,4,0,NA, ,Not Leader,
511,Female,43,Research Scientist,2,1,No,13,12,3,1,NA, ,Not Leader,
513,Male,61,Sales Executive,3,1,No,13,12,3,9,NA,Due for promotion,Not Leader,
514,Male,40,Research Scientist,4,9,Yes,23,24,4,0,NA, ,Not Leader,
515,Female,95,Laboratory Technician,1,1,No,12,11,3,12,NA,Due for promotion,Not Leader,
516,Female,46,Sales Executive,2,7,No,12,11,3,1,NA, ,Not Leader,
517,Female,95,Laboratory Technician,1,3,No,16,15,3,1,NA, ,Not Leader,
518,Male,49,Manufacturing Director,2,2,Yes,12,11,3,0,NA, ,Not Top Leader,
520,Male,59,Research Director,2,1,No,11,10,3,3,NA, ,Not Top Leader,
521,Female,78,Laboratory Technician,3,6,No,22,23,4,0,NA, ,Not Leader,
522,Male,86,Research Director,1,4,No,11,10,3,1,NA, ,Not Top Leader,
523,Female,72,Sales Executive,3,9,No,15,14,3,1,NA, ,Not Leader,
524,Female,31,Manufacturing Director,1,1,No,12,11,3,3,NA, ,Not Top Leader,
525,Male,61,Laboratory Technician,4,7,No,20,21,4,1,NA, ,Not Leader,
526,Female,74,Healthcare Representative,3,4,Yes,14,13,3,0,NA, ,Not Leader,
527,Female,99,Sales Executive,4,1,Yes,11,10,3,1,NA, ,Not Leader,
529,Female,72,Research Scientist,3,3,Yes,15,14,3,10,NA,Due for promotion,Not Leader,
530,Male,98,Laboratory Technician,1,1,No,12,11,3,3,NA, ,Not Leader,
531,Male,52,Manager,3,1,Yes,14,13,3,1,NA, ,Not Top Leader,
532,Female,86,Sales Executive,1,9,No,11,10,3,7,NA,Due for promotion,Not Leader,
533,Female,83,Sales Executive,3,0,No,11,10,3,4,NA, ,Not Leader,
534,Male,49,Sales Executive,1,1,No,16,15,3,0,NA, ,Not Leader,
536,Male,79,Laboratory Technician,1,1,No,12,11,3,1,NA, ,Not Leader,
538,Male,91,Laboratory Technician,1,5,No,13,12,3,0,NA, ,Not Leader,
543,Male,39,Manufacturing Director,3,2,Yes,14,13,3,0,NA, ,Not Top Leader,
544,Male,69,Research Scientist,4,3,No,21,22,4,0,NA, ,Not Leader,
546,Female,30,Manager,4,2,No,13,12,3,1,NA, ,Not Top Leader,
547,Female,92,Research Scientist,3,2,No,11,10,3,0,NA, ,Not Leader,
548,Female,43,Manufacturing Director,4,2,No,20,21,4,0,NA, ,Not Top Leader,
549,Female,41,Manager,1,5,No,11,10,3,11,NA,Due for promotion,Not Top Leader,
550,Female,87,Manufacturing Director,3,2,No,14,13,3,0,NA, ,Not Top Leader,
551,Female,88,Healthcare Representative,4,0,No,11,10,3,0,NA, ,Not Leader,
554,Female,62,Sales Representative,2,1,Yes,16,15,3,1,NA, ,Not Leader,
555,Female,33,Sales Representative,3,0,No,16,15,3,1,NA, ,Not Leader,
556,Male,42,Laboratory Technician,4,1,Yes,23,24,4,0,NA, ,Not Leader,
558,Female,79,Manager,3,0,No,14,13,3,1,NA, ,Not Top Leader,
560,Female,90,Research Scientist,4,1,No,22,23,4,0,NA, ,Not Leader,
562,Male,53,Laboratory Technician,4,4,No,15,14,3,1,NA, ,Not Leader,
564,Male,93,Research Director,3,1,No,18,17,3,0,NA, ,Not Top Leader,
565,Female,71,Research Scientist,2,5,No,16,15,3,1,NA, ,Not Leader,
566,Male,52,Human Resources,4,1,No,12,11,3,0,NA, ,Not Leader,
567,Female,69,Sales Executive,1,0,No,11,10,3,7,NA,Due for promotion,Not Leader,
568,Male,56,Manager,4,3,No,12,11,3,0,NA, ,Not Top Leader,
569,Male,88,Manager,3,0,No,15,14,3,15,NA,Due for promotion,Not Top Leader,
571,Female,49,Laboratory Technician,4,0,No,14,13,3,6,NA,Due for promotion,Not Leader,
573,Female,80,Sales Executive,1,4,No,19,18,3,13,NA,Due for promotion,Not Leader,
574,Female,65,Manufacturing Director,4,5,No,13,12,3,0,NA, ,Not Top Leader,
575,Male,51,Research Director,3,6,No,13,12,3,0,NA, ,Not Top Leader,
577,Male,46,Laboratory Technician,3,0,No,15,14,3,4,NA, ,Not Leader,
578,Female,42,Laboratory Technician,3,7,No,11,10,3,0,NA, ,Not Leader,
579,Male,62,Research Scientist,3,3,No,12,11,3,5,NA, ,Not Leader,
580,Female,94,Sales Executive,4,2,Yes,19,18,3,1,NA, ,Not Leader,
581,Male,33,Manufacturing Director,2,1,No,25,26,4,0,NA, ,Not Top Leader,
582,Male,56,Manager,3,7,Yes,12,11,3,7,NA,Due for promotion,Not Top Leader,
584,Male,38,Laboratory Technician,4,7,No,13,12,3,1,NA, ,Not Leader,
585,Male,57,Sales Representative,2,0,No,14,13,3,1,NA, ,Not Leader,
586,Male,72,Healthcare Representative,3,4,Yes,12,11,3,0,NA, ,Not Leader,
587,Male,66,Healthcare Representative,3,3,No,12,11,3,0,NA, ,Not Leader,
590,Female,43,Human Resources,1,9,Yes,15,14,3,0,NA, ,Not Leader,
591,Male,97,Laboratory Technician,3,4,No,17,16,3,2,NA, ,Not Leader,
592,Male,32,Sales Executive,4,1,No,14,13,3,9,NA,Due for promotion,Not Leader,
593,Male,99,Laboratory Technician,3,5,No,16,15,3,1,NA, ,Not Leader,
595,Female,37,Sales Executive,4,2,No,14,13,3,6,NA,Due for promotion,Not Leader,
597,Female,83,Manager,2,3,No,23,24,4,7,NA,Due for promotion,Not Top Leader,
599,Male,56,Sales Executive,4,7,No,14,13,3,1,NA, ,Not Leader,
600,Male,85,Sales Executive,3,9,No,11,10,3,6,NA,Due for promotion,Not Leader,
601,Female,75,Manufacturing Director,3,7,No,15,14,3,5,NA, ,Not Top Leader,
602,Female,48,Laboratory Technician,3,1,No,11,10,3,0,NA, ,Not Leader,
604,Male,77,Sales Executive,4,4,Yes,13,12,3,0,NA, ,Not Leader,
605,Male,56,Manufacturing Director,1,1,Yes,21,22,4,5,NA, ,Top Leader,
606,Male,61,Sales Executive,2,0,No,19,18,3,3,NA, ,Not Leader,
608,Female,58,Human Resources,3,0,Yes,11,10,3,1,NA, ,Not Leader,
611,Male,34,Manufacturing Director,4,4,No,12,11,3,1,NA, ,Not Top Leader,
612,Female,95,Research Director,3,4,No,19,18,3,0,NA, ,Not Top Leader,
613,Male,44,Manager,4,9,No,21,22,4,0,NA, ,Not Top Leader,
614,Male,69,Sales Representative,2,1,Yes,14,13,3,0,NA, ,Not Leader,
615,Male,58,Sales Executive,1,3,No,15,14,3,0,NA, ,Not Leader,
616,Female,62,Healthcare Representative,3,2,Yes,17,16,3,0,NA, ,Not Leader,
618,Male,45,Sales Executive,3,5,No,12,11,3,0,NA, ,Not Leader,
620,Female,80,Sales Executive,3,1,No,16,15,3,0,NA, ,Not Leader,
621,Male,74,Sales Executive,4,1,No,12,11,3,5,NA, ,Not Leader,
622,Male,66,Laboratory Technician,4,1,Yes,18,17,3,0,NA, ,Not Leader,
623,Female,59,Manufacturing Director,4,4,No,17,16,3,1,NA, ,Not Top Leader,
624,Female,86,Healthcare Representative,3,5,No,11,10,3,1,NA, ,Not Leader,
625,Female,91,Manager,1,7,No,16,15,3,11,NA,Due for promotion,Not Top Leader,
626,Male,69,Sales Executive,2,1,No,13,12,3,7,NA,Due for promotion,Not Leader,
630,Male,78,Research Scientist,1,3,Yes,12,11,3,6,NA,Due for promotion,Not Leader,
631,Male,60,Sales Executive,3,8,No,12,11,3,1,NA, ,Not Leader,
632,Male,38,Sales Representative,4,0,No,13,12,3,2,NA, ,Not Leader,
634,Female,76,Healthcare Representative,3,3,No,19,18,3,0,NA, ,Not Leader,
635,Female,65,Manufacturing Director,2,6,No,12,11,3,4,NA, ,Not Top Leader,
638,Male,58,Research Director,3,1,Yes,17,16,3,0,NA, ,Not Top Leader,
639,Male,89,Research Scientist,4,1,Yes,11,10,3,1,NA, ,Not Leader,
641,Male,66,Sales Executive,2,1,No,20,21,4,1,NA, ,Not Leader,
643,Male,94,Laboratory Technician,2,1,No,21,22,4,0,NA, ,Not Leader,
644,Male,99,Manager,2,1,No,11,10,3,10,NA,Due for promotion,Not Top Leader,
645,Male,40,Sales Representative,3,1,No,11,10,3,0,NA, ,Not Leader,
647,Female,55,Laboratory Technician,3,1,Yes,16,15,3,1,NA, ,Not Leader,
648,Male,74,Sales Representative,1,1,No,18,17,3,0,NA, ,Not Leader,
649,Male,83,Research Scientist,4,1,Yes,13,12,3,1,NA, ,Not Leader,
650,Male,46,Sales Executive,1,2,No,17,16,3,1,NA, ,Not Leader,
652,Male,54,Laboratory Technician,4,4,No,14,13,3,0,NA, ,Not Leader,
653,Male,66,Sales Executive,4,4,No,22,23,4,5,NA, ,Not Leader,
655,Female,66,Research Scientist,3,0,No,12,11,3,0,NA, ,Not Leader,
656,Male,75,Sales Executive,3,4,Yes,11,10,3,1,NA, ,Not Leader,
657,Female,83,Research Scientist,2,1,No,13,12,3,0,NA, ,Not Leader,
659,Female,81,Healthcare Representative,4,1,No,13,12,3,2,NA, ,Not Leader,
661,Male,50,Research Director,4,4,Yes,14,13,3,0,NA, ,Not Top Leader,
662,Female,43,Research Scientist,1,3,No,17,16,3,0,NA, ,Not Leader,
663,Male,72,Laboratory Technician,3,3,Yes,13,12,3,4,NA, ,Not Leader,
664,Female,40,Manager,1,7,No,11,10,3,0,NA, ,Not Top Leader,
665,Female,50,Human Resources,3,4,No,11,10,3,0,NA, ,Not Leader,
666,Female,31,Sales Representative,3,1,Yes,18,17,3,0,NA, ,Not Leader,
667,Male,85,Sales Representative,1,0,No,11,10,3,0,high-salary representative, ,Not Leader,
669,Male,49,Sales Representative,3,1,No,11,10,3,1,NA, ,Not Leader,
671,Male,35,Manager,4,4,Yes,12,11,3,0,NA, ,Not Top Leader,
675,Male,69,Research Scientist,3,0,No,20,21,4,2,NA, ,Not Leader,
677,Male,39,Sales Executive,3,0,No,12,11,3,1,NA, ,Not Leader,
679,Female,92,Research Scientist,4,1,Yes,12,11,3,0,NA, ,Not Leader,
680,Female,71,Research Scientist,3,1,No,20,21,4,0,NA, ,Not Leader,
682,Female,34,Sales Executive,1,7,No,20,21,4,8,NA,Due for promotion,Not Leader,
683,Male,42,Research Scientist,4,1,No,12,11,3,8,NA,Due for promotion,Not Leader,
684,Female,100,Sales Executive,1,2,No,14,13,3,0,NA, ,Not Leader,
686,Female,71,Laboratory Technician,4,1,Yes,13,12,3,0,NA, ,Not Leader,
689,Male,36,Manufacturing Director,3,1,No,15,14,3,7,NA,Due for promotion,Not Top Leader,
690,Female,62,Sales Executive,3,1,No,14,13,3,1,NA, ,Not Leader,
691,Male,82,Research Scientist,4,1,No,13,12,3,11,NA,Due for promotion,Not Leader,
692,Male,30,Healthcare Representative,4,3,No,23,24,4,4,NA, ,Not Leader,
698,Male,88,Human Resources,2,2,No,15,14,3,7,NA,Due for promotion,Not Leader,
699,Male,48,Manufacturing Director,2,2,Yes,11,10,3,0,NA, ,Not Top Leader,
700,Male,54,Research Scientist,4,0,No,13,12,3,1,NA, ,Not Leader,
701,Male,32,Research Scientist,3,1,Yes,11,10,3,1,NA, ,Not Leader,
702,Male,70,Research Scientist,1,1,Yes,11,10,3,9,NA,Due for promotion,Not Leader,
704,Male,41,Laboratory Technician,3,1,No,18,17,3,0,NA, ,Not Leader,
705,Male,58,Research Scientist,1,2,No,16,15,3,0,NA, ,Not Leader,
707,Male,57,Sales Executive,2,0,No,22,23,4,1,NA, ,Not Leader,
709,Female,46,Sales Executive,4,0,No,20,21,4,0,NA, ,Not Leader,
710,Male,76,Research Scientist,4,1,No,18,17,3,2,NA, ,Not Leader,
712,Male,56,Sales Executive,2,3,No,12,11,3,2,NA, ,Not Leader,
714,Female,71,Sales Executive,4,1,Yes,20,21,4,0,NA, ,Not Leader,
715,Male,80,Research Scientist,4,3,No,17,16,3,0,NA, ,Not Leader,
716,Male,74,Laboratory Technician,3,1,Yes,11,10,3,3,NA, ,Not Leader,
717,Female,46,Healthcare Representative,2,1,No,14,13,3,7,NA,Due for promotion,Not Leader,
720,Female,65,Sales Executive,3,9,No,14,13,3,2,NA, ,Not Leader,
721,Female,80,Healthcare Representative,3,1,No,11,10,3,11,NA,Due for promotion,Not Leader,
722,Male,55,Sales Executive,4,1,No,12,11,3,0,NA, ,Not Leader,
723,Male,50,Sales Executive,3,3,Yes,14,13,3,1,NA, ,Not Leader,
724,Female,33,Healthcare Representative,4,0,No,13,12,3,1,NA, ,Not Leader,
725,Female,68,Manufacturing Director,1,1,No,11,10,3,0,NA, ,Not Top Leader,
727,Female,39,Research Director,4,3,No,15,14,3,7,NA,Due for promotion,Not Top Leader,
728,Male,42,Sales Executive,1,2,No,12,11,3,1,NA, ,Not Leader,
729,Male,48,Sales Executive,1,5,Yes,21,22,4,1,NA, ,Not Leader,
730,Male,59,Research Director,3,3,No,19,18,3,1,NA, ,Not Top Leader,
731,Male,73,Manager,4,3,No,15,14,3,12,NA,Due for promotion,Not Top Leader,
732,Male,84,Sales Executive,1,8,No,14,13,3,2,NA, ,Not Leader,
733,Male,32,Manufacturing Director,1,1,No,21,22,4,1,NA, ,Not Top Leader,
734,Male,59,Manager,3,1,No,12,11,3,2,NA, ,Not Top Leader,
738,Male,54,Sales Representative,2,7,No,15,14,3,2,NA, ,Not Leader,
741,Female,67,Research Scientist,2,7,Yes,13,12,3,3,NA, ,Not Leader,
742,Female,63,Research Director,1,9,No,14,13,3,0,NA, ,Not Top Leader,
743,Female,81,Manufacturing Director,3,4,Yes,14,13,3,0,NA, ,Not Top Leader,
744,Male,49,Laboratory Technician,3,2,No,14,13,3,1,NA, ,Not Leader,
746,Female,49,Sales Executive,3,9,Yes,12,11,3,11,NA,Due for promotion,Not Leader,
747,Male,99,Sales Executive,4,7,No,23,24,4,7,NA,Due for promotion,Not Leader,
749,Male,99,Sales Representative,3,1,No,11,10,3,0,high-salary representative, ,Not Leader,
752,Male,57,Research Scientist,3,6,Yes,12,11,3,2,NA, ,Not Leader,
754,Male,47,Sales Executive,4,3,No,18,17,3,2,NA, ,Not Leader,
757,Female,96,Healthcare Representative,3,3,No,11,10,3,4,NA, ,Not Leader,
758,Male,37,Laboratory Technician,1,1,No,14,13,3,0,NA, ,Not Leader,
760,Female,44,Human Resources,2,9,No,15,14,3,3,NA, ,Not Leader,
762,Male,81,Healthcare Representative,4,7,No,11,10,3,1,NA, ,Not Leader,
763,Female,86,Research Scientist,4,0,Yes,20,21,4,2,NA, ,Not Leader,
764,Female,55,Healthcare Representative,1,8,No,19,18,3,0,NA, ,Not Leader,
766,Male,83,Sales Representative,2,1,No,14,13,3,2,high-salary representative, ,Not Leader,
769,Male,86,Laboratory Technician,4,2,No,17,16,3,2,NA, ,Not Leader,
771,Female,61,Healthcare Representative,1,2,No,11,10,3,0,NA, ,Not Leader,
772,Male,80,Laboratory Technician,4,1,No,15,14,3,4,NA, ,Not Leader,
773,Male,92,Research Scientist,3,6,Yes,13,12,3,0,NA, ,Not Leader,
775,Female,32,Manufacturing Director,1,3,No,14,13,3,0,NA, ,Not Top Leader,
776,Male,31,Manager,1,1,No,11,10,3,1,NA, ,Not Top Leader,
780,Male,63,Research Scientist,4,1,Yes,13,12,3,7,NA,Due for promotion,Not Leader,
781,Female,32,Sales Executive,4,1,No,23,24,4,1,NA, ,Not Leader,
783,Male,46,Sales Representative,3,0,No,13,12,3,3,NA, ,Not Leader,
784,Male,79,Research Scientist,3,1,No,18,17,3,0,NA, ,Not Leader,
785,Female,77,Sales Executive,3,4,Yes,12,11,3,1,NA, ,Not Leader,
786,Male,60,Sales Executive,4,1,No,22,23,4,1,NA, ,Not Leader,
787,Male,78,Manager,1,5,Yes,13,12,3,1,NA, ,Not Top Leader,
789,Male,76,Sales Executive,1,1,No,15,14,3,0,NA, ,Not Leader,
791,Male,41,Research Scientist,4,0,No,18,17,3,1,NA, ,Not Leader,
792,Female,71,Laboratory Technician,4,3,No,14,13,3,2,NA, ,Not Leader,
793,Female,66,Healthcare Representative,3,4,No,12,11,3,1,NA, ,Not Leader,
796,Male,38,Sales Executive,1,6,No,17,16,3,1,NA, ,Not Leader,
797,Female,72,Research Scientist,4,2,No,16,15,3,1,NA, ,Not Leader,
799,Female,95,Manufacturing Director,1,9,Yes,11,10,3,1,NA, ,Not Top Leader,
800,Male,84,Sales Executive,4,0,No,19,18,3,1,NA, ,Not Leader,
802,Female,82,Research Scientist,1,0,Yes,13,12,3,4,NA, ,Not Leader,
803,Female,75,Manufacturing Director,1,6,Yes,12,11,3,4,NA, ,Not Top Leader,
804,Female,86,Research Scientist,1,1,No,11,10,3,1,NA, ,Not Leader,
805,Female,72,Sales Representative,4,1,No,16,15,3,0,NA, ,Not Leader,
806,Male,38,Laboratory Technician,3,3,No,21,22,4,0,NA, ,Not Leader,
807,Female,38,Healthcare Representative,2,1,No,24,25,4,3,NA, ,Not Leader,
808,Female,93,Sales Executive,1,5,No,17,16,3,1,NA, ,Not Leader,
809,Male,66,Manager,4,1,No,13,12,3,14,NA,Due for promotion,Not Top Leader,
811,Male,63,Laboratory Technician,1,1,Yes,21,22,4,0,NA, ,Not Leader,
812,Male,60,Laboratory Technician,2,1,No,11,10,3,0,NA, ,Not Leader,
813,Female,82,Laboratory Technician,3,8,No,20,21,4,1,NA, ,Not Leader,
815,Male,64,Research Director,3,5,No,16,15,3,0,NA, ,Not Top Leader,
816,Female,36,Laboratory Technician,1,1,Yes,11,10,3,0,NA, ,Not Leader,
817,Male,49,Research Director,3,0,No,11,10,3,3,NA, ,Not Top Leader,
819,Female,69,Sales Executive,1,5,No,15,14,3,0,NA, ,Not Leader,
820,Female,33,Manager,4,1,Yes,11,10,3,3,NA, ,Not Top Leader,
823,Female,35,Manufacturing Director,2,0,No,15,14,3,0,NA, ,Not Top Leader,
824,Male,81,Research Scientist,3,1,No,24,25,4,0,NA, ,Not Leader,
825,Male,31,Research Director,2,7,Yes,12,11,3,13,NA,Due for promotion,Not Top Leader,
826,Female,40,Research Scientist,3,3,No,13,12,3,2,NA, ,Not Leader,
827,Female,43,Manufacturing Director,4,9,Yes,13,12,3,0,NA, ,Not Top Leader,
828,Male,46,Research Scientist,3,6,No,17,16,3,2,NA, ,Not Leader,
829,Male,36,Human Resources,2,4,No,13,12,3,0,NA, ,Not Leader,
830,Female,98,Manufacturing Director,3,1,No,12,11,3,6,NA,Due for promotion,Not Top Leader,
832,Male,51,Laboratory Technician,3,6,No,14,13,3,0,NA, ,Not Leader,
833,Female,52,Manufacturing Director,4,5,Yes,24,25,4,0,NA, ,Top Leader,
834,Female,95,Research Scientist,3,1,No,14,13,3,0,NA, ,Not Leader,
836,Male,98,Manufacturing Director,2,1,No,13,12,3,7,NA,Due for promotion,Not Top Leader,
837,Male,45,Healthcare Representative,1,2,No,15,14,3,1,NA, ,Not Leader,
838,Female,100,Research Scientist,4,1,No,16,15,3,1,NA, ,Not Leader,
840,Female,43,Sales Executive,4,1,No,18,17,3,7,NA,Due for promotion,Not Leader,
842,Male,37,Sales Executive,4,4,No,16,15,3,7,NA,Due for promotion,Not Leader,
843,Male,94,Research Director,1,6,No,24,25,4,1,NA, ,Not Top Leader,
844,Male,42,Research Director,4,1,Yes,16,15,3,0,NA, ,Not Top Leader,
845,Male,59,Manufacturing Director,3,3,No,21,22,4,1,NA, ,Not Top Leader,
846,Female,81,Sales Executive,2,1,Yes,20,21,4,7,NA,Due for promotion,Not Leader,
847,Male,88,Human Resources,4,0,No,19,18,3,0,NA, ,Not Leader,
848,Female,88,Research Scientist,3,1,Yes,14,13,3,1,NA, ,Not Leader,
850,Male,50,Research Scientist,4,1,No,11,10,3,0,NA, ,Not Leader,
851,Female,66,Manager,3,2,No,14,13,3,4,NA, ,Not Top Leader,
852,Male,50,Healthcare Representative,2,9,No,12,11,3,2,NA, ,Not Leader,
854,Male,65,Research Scientist,1,7,No,13,12,3,0,NA, ,Not Leader,
855,Male,48,Sales Executive,1,1,No,22,23,4,0,NA, ,Not Leader,
856,Female,53,Research Scientist,1,1,No,11,10,3,1,NA, ,Not Leader,
857,Male,56,Sales Executive,4,1,Yes,14,13,3,4,NA, ,Not Leader,
859,Male,73,Sales Executive,4,2,No,11,10,3,0,NA, ,Not Leader,
861,Male,75,Research Scientist,4,9,No,12,11,3,0,NA, ,Not Leader,
862,Female,78,Sales Executive,4,7,Yes,18,17,3,0,NA, ,Not Leader,
864,Male,74,Sales Executive,1,4,Yes,12,11,3,0,NA, ,Not Leader,
865,Female,91,Research Scientist,3,5,No,12,11,3,1,NA, ,Not Leader,
867,Female,81,Manufacturing Director,4,3,No,22,23,4,0,NA, ,Not Top Leader,
868,Male,66,Sales Executive,3,4,No,19,18,3,0,NA, ,Not Leader,
869,Male,63,Human Resources,4,1,No,13,12,3,0,NA, ,Not Leader,
872,Male,33,Manufacturing Director,4,6,No,22,23,4,2,NA, ,Not Top Leader,
874,Male,62,Laboratory Technician,4,2,Yes,24,25,4,0,NA, ,Not Leader,
875,Male,35,Research Scientist,4,5,Yes,14,13,3,2,NA, ,Not Leader,
878,Male,77,Human Resources,1,0,No,21,22,4,0,NA, ,Not Leader,
879,Male,98,Sales Executive,1,1,Yes,18,17,3,0,NA, ,Not Leader,
880,Female,66,Manufacturing Director,3,1,Yes,20,21,4,5,NA, ,Top Leader,
881,Female,96,Research Scientist,2,1,Yes,19,18,3,7,NA,Due for promotion,Not Leader,
882,Male,61,Laboratory Technician,4,0,No,12,11,3,0,NA, ,Not Leader,
885,Male,87,Sales Executive,1,1,No,12,11,3,0,NA, ,Not Leader,
887,Female,36,Research Scientist,1,2,No,16,15,3,0,NA, ,Not Leader,
888,Male,46,Laboratory Technician,4,0,No,17,16,3,3,NA, ,Not Leader,
889,Male,48,Sales Executive,2,1,No,14,13,3,5,NA, ,Not Leader,
893,Male,98,Sales Representative,2,0,No,19,18,3,1,high-salary representative, ,Not Leader,
894,Female,95,Laboratory Technician,4,2,Yes,13,12,3,1,NA, ,Not Leader,
895,Male,48,Research Scientist,4,3,Yes,19,18,3,0,NA, ,Not Leader,
896,Female,48,Sales Representative,3,6,Yes,19,18,3,0,NA, ,Not Leader,
897,Male,73,Sales Executive,4,5,No,14,13,3,2,NA, ,Not Leader,
899,Male,78,Manufacturing Director,2,3,No,16,15,3,4,NA, ,Not Top Leader,
900,Female,54,Sales Representative,4,5,No,15,14,3,0,NA, ,Not Leader,
901,Female,72,Research Director,4,6,No,18,17,3,3,NA, ,Not Top Leader,
902,Female,33,Healthcare Representative,4,4,No,13,12,3,2,NA, ,Not Leader,
903,Female,35,Sales Executive,4,0,Yes,22,23,4,7,NA,Due for promotion,Not Leader,
904,Male,32,Sales Executive,2,1,Yes,13,12,3,0,NA, ,Not Leader,
905,Male,98,Manager,1,1,No,11,10,3,14,NA,Due for promotion,Not Top Leader,
909,Female,42,Human Resources,4,8,No,11,10,3,0,NA, ,Not Leader,
910,Male,57,Human Resources,2,3,Yes,11,10,3,0,NA, ,Not Leader,
911,Male,87,Laboratory Technician,4,1,Yes,24,25,4,0,NA, ,Not Leader,
912,Female,62,Laboratory Technician,4,6,No,14,13,3,0,NA, ,Not Leader,
